#ProfileFileVersion=5.6
#ProfilerVersion=5.6.7262
#API=HSA
#Application=/root/MIOpen/build/bin/MIOpenDriver
#ApplicationArgs=conv -n 64 -c 3 -H 230 -W 230 -k 64 -y 7 -x 7 -p 0 -q 0 -u 2 -v 2 -l 1 -j 1 -m conv -g 1 -t 1 -F 1 -V 0
#WorkingDirectory=./bin/
#OS Version=Linux version 4.13.0-32-generic (buildd@lgw01-amd64-004) (gcc version 5.4.0 20160609 (Ubuntu 5.4.0-6ubuntu1~16.04.5)) #35~16.04.1-Ubuntu SMP Thu Jan 25 10:13:43 UTC 2018 Build 4.13.0
#DisplayName=
#ListSeparator=,
Method, ExecutionOrder, ThreadID, GlobalWorkSize, WorkGroupSize, LocalMemSize, VGPRs, SGPRs, Wavefronts, VALUInsts, SALUInsts, VFetchInsts, SFetchInsts, VWriteInsts, FlatVMemInsts, FlatLDSInsts, FetchSize, WriteSize
sp3AsmConv3x3F_gfx906, 5, 67727, {  32768       1       1}, {  512     1     1}, 65536, 127, 89,       512.00,    122698.40,     16458.42,      6306.00,         1.00,       400.00,         0.00,         0.00,     31029.88,     25107.78
sp3AsmConv3x3F_gfx906, 6, 67727, {  32768       1       1}, {  512     1     1}, 65536, 127, 89,       512.00,    122620.65,     16410.24,      6306.00,         1.00,       400.00,         0.00,         0.00,     31019.19,     25104.53
sp3AsmConv3x3F_gfx906, 7, 67727, {  32768       1       1}, {  512     1     1}, 65536, 127, 89,       512.00,    122686.02,     16477.92,      6306.00,         1.00,       400.00,         0.00,         0.00,     31021.31,     25109.62
sp3AsmConv3x3F_gfx906, 8, 67727, {  32768       1       1}, {  512     1     1}, 65536, 127, 89,       512.00,    122594.39,     16409.72,      6306.00,         1.00,       400.00,         0.00,         0.00,     31001.88,     25106.78
sp3AsmConv3x3F_gfx906, 9, 67727, {  32768       1       1}, {  512     1     1}, 65536, 127, 89,       512.00,    122649.25,     16442.45,      6306.00,         1.00,       400.00,         0.00,         0.00,     31046.56,     25108.16
sp3AsmConv3x3F_gfx906, 10, 67727, {  32768       1       1}, {  512     1     1}, 65536, 127, 89,       512.00,    122650.67,     16434.71,      6306.00,         1.00,       400.00,         0.00,         0.00,     30975.88,     25107.34
#ProfileFileVersion=5.6
#ProfilerVersion=5.6.7262
#API=HSA
#Application=/root/MIOpen/build/bin/MIOpenDriver
#ApplicationArgs=conv -n 64 -c 64 -H 56 -W 56 -k 256 -y 1 -x 1 -p 0 -q 0 -u 1 -v 1 -l 1 -j 1 -m conv -g 1 -t 1 -F 1 -V 0
#WorkingDirectory=./bin/
#OS Version=Linux version 4.13.0-32-generic (buildd@lgw01-amd64-004) (gcc version 5.4.0 20160609 (Ubuntu 5.4.0-6ubuntu1~16.04.5)) #35~16.04.1-Ubuntu SMP Thu Jan 25 10:13:43 UTC 2018 Build 4.13.0
#DisplayName=
#ListSeparator=,
Method, ExecutionOrder, ThreadID, GlobalWorkSize, WorkGroupSize, LocalMemSize, VGPRs, SGPRs, Wavefronts, VALUInsts, SALUInsts, VFetchInsts, SFetchInsts, VWriteInsts, FlatVMemInsts, FlatLDSInsts, FetchSize, WriteSize
Cijk_Ailk_Bljk_SB_MT64x128x16_SE_APM0_AF0EM1_AF1EM1_AMAS3_ASEM1_BL1_DTL0_EPS0_FL1_GRVW4_GSU1_ISA906_IU1_K1_KLA_LPA0_LPB0_LDL1_MGWVW1_NLCA1_NLCB1_PK0_PGR0_PLR1_RK0_SU32_SNLL0_TT4_8_USFGRO0_VAW1_VW4_WG16_16_1_WGM1_gfx906, 1, 67760, {  12544       2      64}, {  256     1     1}, 12288, 64, 98,     25088.00,      2192.00,       216.04,        12.00,        35.00,         8.00,         0.00,         0.00,     28543.31,    100352.00
(anonymous&nbsp;namespace)::hip_fill_n<256u&comma;&nbsp;unsigned&nbsp;int*&comma;&nbsp;unsigned&nbsp;long&comma;&nbsp;unsigned&nbsp;int>_gfx906, 2, 67760, {51380224       1       1}, {  256     1     1}, 0, 11, 18,    802816.00,        38.00,         9.00,         0.00,         4.00,         0.00,         1.00,         0.00,       749.81,    100352.00
Cijk_Ailk_Bljk_SB_MT64x128x16_SE_APM0_AF0EM1_AF1EM1_AMAS3_ASEM1_BL1_DTL0_EPS0_FL1_GRVW4_GSU1_ISA906_IU1_K1_KLA_LPA0_LPB0_LDL1_MGWVW1_NLCA1_NLCB1_PK0_PGR0_PLR1_RK0_SU32_SNLL0_TT4_8_USFGRO0_VAW1_VW4_WG16_16_1_WGM1_gfx906, 3, 67760, {  12544       2      64}, {  256     1     1}, 12288, 64, 98,     25088.00,      2192.00,       216.04,        12.00,        35.00,         8.00,         0.00,         0.00,     28695.50,    100352.00
sp3AsmConvRxSU_gfx906, 4, 67760, {  32768       1       1}, {  512     1     1}, 65536, 126, 101,       512.00,    487962.92,     79748.41,     25122.00,         3.00,      1576.00,         0.00,         0.00,     51338.81,    100406.84
gcnAsmConv1x1U_gfx906, 5, 67760, {  12544       8      16}, {  256     1     1}, 8192, 84, 91,     25088.00,      2203.00,      1227.50,       128.00,       259.00,        32.00,         0.00,         0.00,    122560.31,    100352.00
MIOpenConv1x1_gfx906, 6, 67760, {1605632       1       1}, {   64     1     1}, 0, 63, 98,     25088.00,      2314.00,        66.00,         0.00,       259.00,         0.00,        96.00,         0.00,     25302.56,    100352.00
MIOpenConv1x1_gfx906, 7, 67760, {1605632       1       1}, {   64     1     1}, 0, 63, 98,     25088.00,      2314.00,        66.00,         0.00,       259.00,         0.00,        96.00,         0.00,     25306.19,    100352.00
MIOpenConv1x1_gfx906, 8, 67760, {1605632       1       1}, {   64     1     1}, 0, 63, 98,     25088.00,      2314.00,        66.00,         0.00,       259.00,         0.00,        96.00,         0.00,     25256.06,    100352.00
MIOpenConv1x1_gfx906, 9, 67760, {1605632       1       1}, {   64     1     1}, 0, 63, 98,     25088.00,      2314.00,        66.00,         0.00,       259.00,         0.00,        96.00,         0.00,     25263.62,    100352.00
MIOpenConv1x1_gfx906, 10, 67760, {1605632       1       1}, {   64     1     1}, 0, 63, 98,     25088.00,      2314.00,        66.00,         0.00,       259.00,         0.00,        96.00,         0.00,     25272.31,    100352.00
MIOpenConv1x1_gfx906, 11, 67760, {1605632       1       1}, {   64     1     1}, 0, 63, 98,     25088.00,      2314.00,        66.00,         0.00,       259.00,         0.00,        96.00,         0.00,     25263.94,    100352.00
MIOpenConv1x1_gfx906, 12, 67760, {1605632       1       1}, {   64     1     1}, 0, 63, 98,     25088.00,      2314.00,        66.00,         0.00,       259.00,         0.00,        96.00,         0.00,     25248.00,    100352.00
MIOpenConv1x1_gfx906, 13, 67760, {1605632       1       1}, {   64     1     1}, 0, 63, 98,     25088.00,      2314.00,        66.00,         0.00,       259.00,         0.00,        96.00,         0.00,     25287.62,    100352.00
MIOpenConv1x1_gfx906, 14, 67760, {1605632       1       1}, {   64     1     1}, 0, 63, 98,     25088.00,      2314.00,        66.00,         0.00,       259.00,         0.00,        96.00,         0.00,     25283.56,    100352.00
MIOpenConv1x1_gfx906, 15, 67760, {1605632       1       1}, {   64     1     1}, 0, 63, 98,     25088.00,      2314.00,        66.00,         0.00,       259.00,         0.00,        96.00,         0.00,     25260.88,    100352.00
#ProfileFileVersion=5.6
#ProfilerVersion=5.6.7262
#API=HSA
#Application=/root/MIOpen/build/bin/MIOpenDriver
#ApplicationArgs=conv -n 64 -c 256 -H 56 -W 56 -k 64 -y 1 -x 1 -p 0 -q 0 -u 1 -v 1 -l 1 -j 1 -m conv -g 1 -t 1 -F 1 -V 0
#WorkingDirectory=./bin/
#OS Version=Linux version 4.13.0-32-generic (buildd@lgw01-amd64-004) (gcc version 5.4.0 20160609 (Ubuntu 5.4.0-6ubuntu1~16.04.5)) #35~16.04.1-Ubuntu SMP Thu Jan 25 10:13:43 UTC 2018 Build 4.13.0
#DisplayName=
#ListSeparator=,
Method, ExecutionOrder, ThreadID, GlobalWorkSize, WorkGroupSize, LocalMemSize, VGPRs, SGPRs, Wavefronts, VALUInsts, SALUInsts, VFetchInsts, SFetchInsts, VWriteInsts, FlatVMemInsts, FlatLDSInsts, FetchSize, WriteSize
Cijk_Ailk_Bljk_SB_MT128x64x8_SE_APM0_AF0EM1_AF1EM1_AMAS3_ASEM1_BL1_DTL0_EPS1_FL1_GRVW2_GSU1_ISA906_IU1_K1_KLA_LPA0_LPB0_LDL1_MGWVW1_NLCA1_NLCB1_PK0_PGR1_PLR1_RK0_SU32_SNLL0_TT4_8_USFGRO0_VAW1_VW2_WG32_8_1_WGM1_gfx906, 1, 67809, {   6400       1      64}, {  256     1     1}, 14336, 70, 98,      6400.00,      8342.64,       779.72,        96.00,        35.00,        16.64,         0.00,         0.00,    100584.75,     25088.00
(anonymous&nbsp;namespace)::hip_fill_n<256u&comma;&nbsp;unsigned&nbsp;int*&comma;&nbsp;unsigned&nbsp;long&comma;&nbsp;unsigned&nbsp;int>_gfx906, 2, 67809, {12845056       1       1}, {  256     1     1}, 0, 11, 18,    200704.00,        38.00,         9.00,         0.00,         4.00,         0.00,         1.00,         0.00,         6.50,     25088.00
Cijk_Ailk_Bljk_SB_MT128x64x8_SE_APM0_AF0EM1_AF1EM1_AMAS3_ASEM1_BL1_DTL0_EPS1_FL1_GRVW2_GSU1_ISA906_IU1_K1_KLA_LPA0_LPB0_LDL1_MGWVW1_NLCA1_NLCB1_PK0_PGR1_PLR1_RK0_SU32_SNLL0_TT4_8_USFGRO0_VAW1_VW2_WG32_8_1_WGM1_gfx906, 3, 67809, {   6400       1      64}, {  256     1     1}, 14336, 70, 98,      6400.00,      8342.64,       779.72,        96.00,        35.00,        16.64,         0.00,         0.00,    100638.25,     25088.00
sp3AsmConvRxSU_gfx906, 4, 67809, {  32768       1       1}, {  512     1     1}, 65536, 126, 101,       512.00,    467148.40,     65897.75,     25122.00,         3.00,       400.00,         0.00,         0.00,    203084.19,     25096.53
